432,52:55.182N,1:04.728W,33M,T,Nottingham / Tol,
433,51:59.529N,0:04.085E,140M,T,Nuthampstead,
434,51:50.870N,1:26.749W,119M,T,Oaklands Farm,
435,51:37.828N,2:00.971W,87M,T,Oaksey Park (EGT,
436,51:14.134N,0:56.737W,121M,T,Odiham (EGVO) [R,
437,51:05.938N,1:47.034W,80M,T,Old Sarum (EGLS),
438,52:05.208N,0:19.113W,32M,T,Old Warden,
439,51:50.197N,1:19.198W,79M,T,Oxford / Kidling,
440,51:48.139N,0:09.482W,78M,T,Panshanger (EGLG,
441,52:48.459N,2:30.194W,67M,T,Peplow (Childs E,
442,51:11.637N,1:14.033W,162M,T,Popham (EGHP),
443,52:42.613N,0:08.300W,0M,T,Postland / Crowl,
444,51:12.815N,0:08.451W,60M,T,Redhill (EGKR),
445,51:12.377N,1:44.760W,116M,T,Salisbury Plain ,
446,52:07.628N,0:18.554W,21M,T,Sandy,
447,52:47.879N,2:40.080W,70M,T,Shawbury [RAF],
448,52:44.143N,2:36.074W,56M,T,Sherlowe,
449,52:33.360N,0:23.263W,34M,T,Sibson (EGSP),
450,52:04.278N,1:00.953W,154M,T,Silverstone (EGB,
451,52:14.014N,1:43.060W,113M,T,Snitterfield [G],
